Brand,Price,Source
"Xiaomi Redmi 15 - 6.9"" - 2SIM - 4G - 50Mpx - 8/256 Go - Titan Gray - 7100 mAh - 33W Chargement - Garantie 12 Mois","88,150 FCFA",Jumia
"Samsung  GALAXY A07 - 6,7"" - 4/128GO - 50 MP - 2 SIM - 4G - 5000MAH - noir","64,900 FCFA",Jumia
Infinix HOT 50  - 128Go + 8Go - 50 MP - 5000 MAh - Vert - 25 Mois Garantie,"76,650 FCFA",Jumia
Tecno Camon 40 Pro - 6.78 Pouces- 4G - (8+8)Go RAM + 256Go ROM  – V,"146,800 FCFA",Jumia
"Xiaomi Redmi A5 – 6.8"" – 64 Go – 3 Go RAM – 5200mAh – Noir – Garantie 12 Mois","40,000 FCFA",Jumia
"Samsung  Galaxy A26 - 6.7"" - 5G RAM 6Go - ROM 128Go - Caméra 50+8+2MP - 5000mAh - Noir","127,000 FCFA",Jumia
Tecno POP 10 - 64GO ROM- (3+3)GO RAM - 4G - 2 SIM - 13MP-5000MAH - N.,"48,800 FCFA",Jumia
Infinix HOT 60 Pro+  - 256Go + 8Go - 50 MP - 5160 MAh - Gris - 12 mois garantie,"100,900 FCFA",Jumia
Itel A06 (2+2) Ram / 32 GB Rom - 8Mpx - 4000Mah- Noir,"32,100 FCFA",Jumia
"Infinix NOTE 50 Pro - 6.78"" - 4G - 2 SIM - 32 Mpx - 8/256 Go - Gris - 12 Mois Garantie","143,900 FCFA",Jumia
"Renewed Oppo A31 6 Go + 128 Go 6,5 Pouces 4230 MAh 12 MP Triple Caméra Double SIM Smartphone Reconditionné","35,100 FCFA",Jumia
"Infinix  smart 10 HD - 6,6 Pouces - 4G - 2 SIM - (2+2)Go RAM - 64Go ROM - 8MP/13MP - Noir","45,700 FCFA",Jumia
"Samsung Galaxy A16 - 2 Sim - 4G - 6.6"" - 4Go/128Go - 13Mpx/50+5+2Mpx - 5000 MAh - GRIS","78,400 FCFA",Jumia
"Xiaomi Redmi A5 – 6.8"" – 64 Go – 3 Go RAM – 5200mAh – Gold – Garantie 12 Mois","40,400 FCFA",Jumia
redbeat D5 Smartphone 6.52inch IPS HD 4GB + 64GB ROM-Black,"39,330 FCFA",Jumia
"Tecno Camon 40 Pro - 6.78"" - 4G - 8Go/256Go – 50MP/50MP+8MP - 5200 MAh – Noir","142,500 FCFA",Jumia
"Renewed Oppo A31- Reconditionné 6 Go + 128 Go 6,5 Pouces 4230 MAh 12 MP Triple Caméra Double SIM Smartphone","36,400 FCFA",Jumia
Tecno smartphone Pop10 64 Go 3+3 2 cartes SIM,"58,900 FCFA",Jumia
Samsung Galaxy A16 4G RAM 4Go - ROM 128Go - Gray- Garantie 24 Mois,"79,000 FCFA",Jumia
Infinix Smart 10 Plus  - 128Go + 4 Go - 6.6''- 8 MP - 6000 mAh - argent- 12 Mois Garantie,"51,550 FCFA",Jumia
"Tecno Pop10  - 2sim - 6,6 pouces - 128G (3+3)Go Ram 4G - 8Mpx/ 13Mpx - 5000Mah - noir","66,000 FCFA",Jumia
"Infinix NOTE 50 Pro - 6.78"" - 4G - 2 SIM - 32 Mpx - 8/256 Go - Violet - 12 Mois Garantie","143,900 FCFA",Jumia
"Samsung Galaxy A36- Ecran 6.7"" - Ram 8Go RAM - Rom 256Go - 50MP+8MP+5MP - Batterie 5000 MAh - Awesome Black","174,600 FCFA",Jumia
Samsung Galaxy A16 - 2 Sim - 4G - 6.6 Pouces - 4Go RAM - 128Go ROM - 13Mpx/50+5+2Mpx - 5000 MAh - VERT,"79,400 FCFA",Jumia
"Tecno smartphone Pop10, 128 Go, 3+3 RAM, double SIM","68,400 FCFA",Jumia
Tecno T Smartphone CAMON 40 Pro – 256Go + 8+8Go RAM,"147,250 FCFA",Jumia
"Itel        S25 Ultra 6,78"" AMOLED 256+8 4G Android-Noir","97,000 FCFA",Jumia
Tecno POP 10C - 4G - 64GO ROM- (2+2)GO RAM -2 SIM - 13MP-5000MAH - B,"46,500 FCFA",Jumia
Tecno Camon 40 Pro - 6.78 Pouces- 4G - (8+8)Go RAM + 256Go ROM – B,"146,500 FCFA",Jumia
Tecno POP 10C - 4G - 64GO ROM- (2+2)GO RAM -2 SIM - 13MP-5000MAH - N,"46,300 FCFA",Jumia
Samsung Galaxy A16 4G RAM 4Go - ROM 128Go - Noir- Garantie 24 Mois,"80,000 FCFA",Jumia
"Tecno Camon 40 - 6.78""- 4G - 2 SIM - (8+8)Go RAM - 256Go ROM – 32Mpx/50MP+8MP- V","132,900 FCFA",Jumia
"Honor X9c 5G 6.7"" (12GB Jusqu'à 24Go /256GB - Snapdragon 6 Gen 1 - 108MP - 6600mAH/66W - Titanium Purple","187,200 FCFA",Jumia
"Renewed Vivo Y17 6,35"" 5000mAh 6 Go RAM + 128 Go ROM Double SIM 13MP Reconnaissance Faciale + Réinitialisation Empreinte Digitale Smartphone - Cyan","39,795 FCFA",Jumia
"Xiaomi Redmi 13C 4G LTE 256GB + 8GB, écran 6,74"", triple caméra 50 MP - blue/white/black","58,999 FCFA",Jumia
"Ulefone Armor X16  - Ecran en Fibre 6,56 pouce - Android 15 - 6+6/128 - Batterie 10360 mAh - 33W - Vision Nocturne - 64Mpx+25 Mpx - DualSim - Empreinte Digitale - NFC - GARANTIE 12 MOIS","121,000 FCFA",Jumia
"Honor X7c 6.7""- 256/8GB Jusqu'à 16Go  - 6000 MAh/35W - 108 MP- Vert","95,000 FCFA",Jumia
Tecno smarphone Pop10 64Gb3+3 2 sim,"58,900 FCFA",Jumia
"Corn CORN Coco 10 Ultra 4G BLACK //128GB- RAM 4+8 (12) Android 14, 6.8""HD +WATERDROP SCREEN 13MP Main Camera,8mp Front Camera 5000mAh Dual SIM. (coque+anti choc inclus) 12MOIS GARANTIE","45,000 FCFA",Jumia
"Tecno TECNO SPARK 30C - 6,6"" - 128GO ROM - (4+4)GO RAM - 2 Sim - 50 MP - 5000MAH- W","72,900 FCFA",Jumia
"Renewed Huawei Y9 -6.5"" 16Mpx-6GB+128GB ROM Double SIM-4000 MAh-Smartphone avec empreinte et reconnaissance faciale- Noir","37,702 FCFA",Jumia
"Samsung GALAXY A06 - 4G - 64GO ROM - 4GO RAM - 50MP - 6,7 "" - 2 SIM - 5000MAH - N","50,000 FCFA",Jumia
"Samsung  Galaxy A14 5G - 6.6"" - 6GB/128GB - 50Mpx - 2XSim - Black","85,000 FCFA",Jumia
Tecno POP 10C - 4G - 64GO ROM- (2+2)GO RAM -2 SIM - 13MP-5000MAH - B,"46,800 FCFA",Jumia
"Xiaomi REDMI NOTE 14 - 6,67"" - 256GO ROM - 8GO ROM - 108MP/20MP - 4G - 2 SIM - 5000MAH - V.","104,900 FCFA",Jumia
Samsung Smartphone Galaxy A16 4G (4Go RAM 128Go) 5000MAH 50MP,"82,650 FCFA",Jumia
Tecno smarphone Pop10 64Gb3+3 2 sim,"58,900 FCFA",Jumia
"Logicom LOGICOM SMART PRO - 6GB RAM 128Go - Android 14 - 6,74 Pouces - 50 Mpx - HD NOIR 12 mois de garantie","54,500 FCFA",Jumia
"Samsung Galaxy Note 10 Plus - 6.8"" - 256Go/12Go Ram - 12Mpx - Black - Garantie 3Mois","220,800 FCFA",Jumia
Xiaomi Smartphone Redmi A5 * 6.88 Pouces * ( 128GB -4GB RAM) -5200mAh - Double Camera - Noir,"55,100 FCFA",Jumia
Xiaomi Redmi A5 * 6.88 Pouces* (64GB-3GB RAM) - 5200mAh-32 Mpx Simple NOIR,"40,000 FCFA",Jumia
"redbeat D5 Smartphone, 6.52inch IPS HD , 6GB + 128GB ROM Blue","47,500 FCFA",Jumia
Samsung GALAXY A17 - 128Go - 4Go Ram - 5000MAH - Android 15 - GRAY,"108,600 FCFA",Jumia
Tecno smartphone  Spark 40 Pro+ Ecran6.78 pouce1220x2712px 128+8+8,"118,750 FCFA",Jumia
"Ulefone Armor X13 - 4G - 6+6Go/64Go - 6320 MAh - 50Mp+24Mp - 6.52"" FHD water deep vision nocturne - Noir - 12 Mois De Garantie","94,500 FCFA",Jumia
"Infinix Smartphone Hot 50i - 4G - 6,7"" - 2 SIM - 128Go - (4+4)Go - 48Mpx - 5000 MAh","61,750 FCFA",Jumia
"Renewed HUAWEI P Smart+ 2019, 99.9% NEUF, 4 Go RAM + 128 Go ROM, batterie 4000mAh, double SIM, écran 6.5 pouces, caméra HD 12MP, déverrouillage facial + empreinte digitale","39,839 FCFA",Jumia
"Samsung Galaxy A26 - 6.7"" - 5G RAM 6Go - ROM 128Go - Caméra 50+8+2MP - 5000mAh - Orange","127,950 FCFA",Jumia
