brand_name,Price,discount,image_url,Reviews_rating,Reviews_count
ANTHO Kit Recharge D'Encre 4 Couleurs - Noir/Rouge/Jaune/Bleu - Pour C...,4600,5%,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/08/018992/1.jpg?3984,3.9,23
EAGEAT Souris Sans Fil Bluetooth Rechargeable,2205,5%,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/18/561403/1.jpg?0008,3.8,38
LM-Ensemble de sacs à dos pour ordinateur portable 3 en 1- Bleu,3899,5%,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/09/589103/1.jpg?1553,3.2,17
Lenovo Ideapad 1 - Dual Core - 8GB RAM - 256GB SSD - Windows 11 - Gris...,140850,5%,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/20/598992/1.jpg?2797,3.3,27
Souris Bluetooth Sans Fil Rechargeable - 2.4Ghz - Noir,1690,5%,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/32/145962/1.jpg?6855,4.2,302
Hp Clé USB 3.0 - 64GB - Argent,3250,5%,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/64/182731/1.jpg?9276,3.8,906
POHB Carte Mémoire Ultra MicroSD 106Mb/s 128GB + Adaptateur Gratuit,8113,5%,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/80/324103/1.jpg?6516,4.3,61
Hub -Type-C 3.0 USB - HDMI Adaptateur,3430,5%,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/81/057872/1.jpg?3318,4.2,193
EAGEAT Clé USB 64 Go Métal OTG Micro USB Type-C,2079,5%,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/19/124692/1.jpg?6173,3.7,112
Répéteur Amplificateur De Signal WiFi Nouvelle Version Avec WPS 300Mbp...,6400,5%,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/20/122482/1.jpg?4345,3.7,50
Support D'ordinateur Portable,1651,5%,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/69/642972/1.jpg?6619,3.9,88
"GUEETON Stylo à bille avec clé USB OTG de 128 Go, blanc, avec 4 rechar...",2880,5%,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/09/020212/1.jpg?4178,3.7,306
Table pliable - table de lit pliable - bureau d ordinateur - Table de ...,6500,5%,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/19/183992/1.jpg?7513,4.0,57
