brand_name,Price,discount,Reviews,image_url,Reviews_rating,Reviews_count
Canon Imprimante -All In One - PIXMA -MG2540S / MG2541S- Copy - Scan -...,27500.0,5%,3.4 out of 5(204),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/91/761241/1.jpg?7528,3.4,204.0
Multi HUB Splitter D'extension USB 3.0 à Haute Vitesse 7 Ports USB 3.0,2320.0,5%,3.7 out of 5(192),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/99/642972/1.jpg?2005,3.7,192.0
"VIC ♛128Go USB3.0 Clés USB métal, Disque USB portable étanche",2594.0,5%,3.3 out of 5(23),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/10/722613/1.jpg?2933,3.3,23.0
WSD P10 ordinateur portable Intel N5095-Écran 15.6'' 16 Go+512 Go ordi...,185500.0,5%,3.8 out of 5(82),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/48/213892/1.jpg?7006,3.8,82.0
Ventilateur De Bureau Portable à Clipser – 2000 MAh Rechargeable Par U...,2800.0,5%,3.6 out of 5(102),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/72/842182/1.jpg?0429,3.6,102.0
Xiaomi MI Répéteur (amplificateur) Wifi Pro 300Mbps - Noir,9800.0,5%,4.2 out of 5(132),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/26/065762/1.jpg?1003,4.2,132.0
Canon Imprimante Pixma TS3340 - Impression - Photocopie - Scanner - Wi...,34700.0,5%,3.7 out of 5(175),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/31/538082/1.jpg?5246,3.7,175.0
DJOK Souris Sans Fil LED - Bluetooth & 2.4G - Rechargeable - Silencieu...,3000.0,5%,4.2 out of 5(25),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/12/347713/1.jpg?7204,4.2,25.0
LZDUATAN 10 Steps Laptop Stand,1139.0,5%,4 out of 5(428),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/02/580562/1.jpg?3507,4.0,428.0
EAGEAT Souris de jeu sans fil rechargeable à trois vitesses 2.4GHz,2295.0,5%,4.3 out of 5(120),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/67/605992/1.jpg?0696,4.3,120.0
ANTHO Kit Recharge D'Encre 4 Couleurs - Noir/Rouge/Jaune/Bleu - Pour C...,4600.0,5%,3.9 out of 5(23),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/08/018992/1.jpg?3984,3.9,23.0
EAGEAT Souris Sans Fil Bluetooth Rechargeable,2205.0,5%,3.8 out of 5(38),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/18/561403/1.jpg?0008,3.8,38.0
LM-Ensemble de sacs à dos pour ordinateur portable 3 en 1- Bleu,3899.0,5%,3.2 out of 5(17),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/09/589103/1.jpg?1553,3.2,17.0
Lenovo Ideapad 1 - Dual Core - 8GB RAM - 256GB SSD - Windows 11 - Gris...,140850.0,5%,3.3 out of 5(27),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/20/598992/1.jpg?2797,3.3,27.0
Souris Bluetooth Sans Fil Rechargeable - 2.4Ghz - Noir,1690.0,5%,4.2 out of 5(302),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/32/145962/1.jpg?6855,4.2,302.0
Hp Clé USB 3.0 - 64GB - Argent,3250.0,5%,3.8 out of 5(906),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/64/182731/1.jpg?9276,3.8,906.0
